Year,Quarter,Month,Day,Days in Week,Days in Week Sort,IsCurrentYear,Month,MonthNumber1,QuarterNumber,weekNumber,Year
2007,Qtr 1,January,1,Mon,1,No,Jan,1,1,1,2007
2007,Qtr 1,January,2,Tue,2,No,Jan,1,1,1,2007
2007,Qtr 1,January,3,Wed,3,No,Jan,1,1,1,2007
2007,Qtr 1,January,4,Thu,4,No,Jan,1,1,1,2007
2007,Qtr 1,January,5,Fri,5,No,Jan,1,1,1,2007
2007,Qtr 1,January,6,Sat,6,No,Jan,1,1,1,2007
2007,Qtr 1,January,7,Sun,7,No,Jan,1,1,2,2007
2007,Qtr 1,January,8,Mon,1,No,Jan,1,1,2,2007
2007,Qtr 1,January,9,Tue,2,No,Jan,1,1,2,2007
2007,Qtr 1,January,10,Wed,3,No,Jan,1,1,2,2007
2007,Qtr 1,January,11,Thu,4,No,Jan,1,1,2,2007
2007,Qtr 1,January,12,Fri,5,No,Jan,1,1,2,2007
2007,Qtr 1,January,13,Sat,6,No,Jan,1,1,2,2007
2007,Qtr 1,January,14,Sun,7,No,Jan,1,1,3,2007
2007,Qtr 1,January,15,Mon,1,No,Jan,1,1,3,2007
2007,Qtr 1,January,16,Tue,2,No,Jan,1,1,3,2007
2007,Qtr 1,January,17,Wed,3,No,Jan,1,1,3,2007
2007,Qtr 1,January,18,Thu,4,No,Jan,1,1,3,2007
2007,Qtr 1,January,19,Fri,5,No,Jan,1,1,3,2007
2007,Qtr 1,January,20,Sat,6,No,Jan,1,1,3,2007
2007,Qtr 1,January,21,Sun,7,No,Jan,1,1,4,2007
2007,Qtr 1,January,22,Mon,1,No,Jan,1,1,4,2007
2007,Qtr 1,January,23,Tue,2,No,Jan,1,1,4,2007
2007,Qtr 1,January,24,Wed,3,No,Jan,1,1,4,2007
2007,Qtr 1,January,25,Thu,4,No,Jan,1,1,4,2007
2007,Qtr 1,January,26,Fri,5,No,Jan,1,1,4,2007
2007,Qtr 1,January,27,Sat,6,No,Jan,1,1,4,2007
2007,Qtr 1,January,28,Sun,7,No,Jan,1,1,5,2007
2007,Qtr 1,January,29,Mon,1,No,Jan,1,1,5,2007
2007,Qtr 1,January,30,Tue,2,No,Jan,1,1,5,2007
2007,Qtr 1,January,31,Wed,3,No,Jan,1,1,5,2007
2007,Qtr 1,February,1,Thu,4,No,Feb,2,1,5,2007
2007,Qtr 1,February,2,Fri,5,No,Feb,2,1,5,2007
2007,Qtr 1,February,3,Sat,6,No,Feb,2,1,5,2007
2007,Qtr 1,February,4,Sun,7,No,Feb,2,1,6,2007
2007,Qtr 1,February,5,Mon,1,No,Feb,2,1,6,2007
2007,Qtr 1,February,6,Tue,2,No,Feb,2,1,6,2007
