Actual Time,AMPM,Hour,Hour Extend,Minute,Year,Quarter,Month,Day,TimeKey,Value
01:00 AM,AM,1,1 AM,0,1899,Qtr 4,December,30,0100,60
01:00 PM,PM,13,1 PM,0,1899,Qtr 4,December,30,1300,780
01:01 AM,AM,1,1 AM,1,1899,Qtr 4,December,30,0101,61
01:01 PM,PM,13,1 PM,1,1899,Qtr 4,December,30,1301,781
01:02 AM,AM,1,1 AM,2,1899,Qtr 4,December,30,0102,62
01:02 PM,PM,13,1 PM,2,1899,Qtr 4,December,30,1302,782
01:03 AM,AM,1,1 AM,3,1899,Qtr 4,December,30,0103,63
01:03 PM,PM,13,1 PM,3,1899,Qtr 4,December,30,1303,783
01:04 AM,AM,1,1 AM,4,1899,Qtr 4,December,30,0104,64
01:04 PM,PM,13,1 PM,4,1899,Qtr 4,December,30,1304,784
01:05 AM,AM,1,1 AM,5,1899,Qtr 4,December,30,0105,65
01:05 PM,PM,13,1 PM,5,1899,Qtr 4,December,30,1305,785
01:06 AM,AM,1,1 AM,6,1899,Qtr 4,December,30,0106,66
01:06 PM,PM,13,1 PM,6,1899,Qtr 4,December,30,1306,786
01:07 AM,AM,1,1 AM,7,1899,Qtr 4,December,30,0107,67
01:07 PM,PM,13,1 PM,7,1899,Qtr 4,December,30,1307,787
01:08 AM,AM,1,1 AM,8,1899,Qtr 4,December,30,0108,68
01:08 PM,PM,13,1 PM,8,1899,Qtr 4,December,30,1308,788
01:09 AM,AM,1,1 AM,9,1899,Qtr 4,December,30,0109,69
01:09 PM,PM,13,1 PM,9,1899,Qtr 4,December,30,1309,789
01:10 AM,AM,1,1 AM,10,1899,Qtr 4,December,30,0110,70
01:10 PM,PM,13,1 PM,10,1899,Qtr 4,December,30,1310,790
01:11 AM,AM,1,1 AM,11,1899,Qtr 4,December,30,0111,71
01:11 PM,PM,13,1 PM,11,1899,Qtr 4,December,30,1311,791
01:12 AM,AM,1,1 AM,12,1899,Qtr 4,December,30,0112,72
01:12 PM,PM,13,1 PM,12,1899,Qtr 4,December,30,1312,792
01:13 AM,AM,1,1 AM,13,1899,Qtr 4,December,30,0113,73
01:13 PM,PM,13,1 PM,13,1899,Qtr 4,December,30,1313,793
01:14 AM,AM,1,1 AM,14,1899,Qtr 4,December,30,0114,74
01:14 PM,PM,13,1 PM,14,1899,Qtr 4,December,30,1314,794
01:15 AM,AM,1,1 AM,15,1899,Qtr 4,December,30,0115,75
01:15 PM,PM,13,1 PM,15,1899,Qtr 4,December,30,1315,795
01:16 AM,AM,1,1 AM,16,1899,Qtr 4,December,30,0116,76
01:16 PM,PM,13,1 PM,16,1899,Qtr 4,December,30,1316,796
01:17 AM,AM,1,1 AM,17,1899,Qtr 4,December,30,0117,77
01:17 PM,PM,13,1 PM,17,1899,Qtr 4,December,30,1317,797
01:18 AM,AM,1,1 AM,18,1899,Qtr 4,December,30,0118,78
01:18 PM,PM,13,1 PM,18,1899,Qtr 4,December,30,1318,798
01:19 AM,AM,1,1 AM,19,1899,Qtr 4,December,30,0119,79
01:19 PM,PM,13,1 PM,19,1899,Qtr 4,December,30,1319,799
01:20 AM,AM,1,1 AM,20,1899,Qtr 4,December,30,0120,80
01:20 PM,PM,13,1 PM,20,1899,Qtr 4,December,30,1320,800
01:21 AM,AM,1,1 AM,21,1899,Qtr 4,December,30,0121,81
01:21 PM,PM,13,1 PM,21,1899,Qtr 4,December,30,1321,801
01:22 AM,AM,1,1 AM,22,1899,Qtr 4,December,30,0122,82
01:22 PM,PM,13,1 PM,22,1899,Qtr 4,December,30,1322,802
01:23 AM,AM,1,1 AM,23,1899,Qtr 4,December,30,0123,83
01:23 PM,PM,13,1 PM,23,1899,Qtr 4,December,30,1323,803
01:24 AM,AM,1,1 AM,24,1899,Qtr 4,December,30,0124,84
01:24 PM,PM,13,1 PM,24,1899,Qtr 4,December,30,1324,804
01:25 AM,AM,1,1 AM,25,1899,Qtr 4,December,30,0125,85
01:25 PM,PM,13,1 PM,25,1899,Qtr 4,December,30,1325,805
01:26 AM,AM,1,1 AM,26,1899,Qtr 4,December,30,0126,86
01:26 PM,PM,13,1 PM,26,1899,Qtr 4,December,30,1326,806
01:27 AM,AM,1,1 AM,27,1899,Qtr 4,December,30,0127,87
01:27 PM,PM,13,1 PM,27,1899,Qtr 4,December,30,1327,807
01:28 AM,AM,1,1 AM,28,1899,Qtr 4,December,30,0128,88
01:28 PM,PM,13,1 PM,28,1899,Qtr 4,December,30,1328,808
01:29 AM,AM,1,1 AM,29,1899,Qtr 4,December,30,0129,89
01:29 PM,PM,13,1 PM,29,1899,Qtr 4,December,30,1329,809
01:30 AM,AM,1,1 AM,30,1899,Qtr 4,December,30,0130,90
01:30 PM,PM,13,1 PM,30,1899,Qtr 4,December,30,1330,810
01:31 AM,AM,1,1 AM,31,1899,Qtr 4,December,30,0131,91
01:31 PM,PM,13,1 PM,31,1899,Qtr 4,December,30,1331,811
01:32 AM,AM,1,1 AM,32,1899,Qtr 4,December,30,0132,92
01:32 PM,PM,13,1 PM,32,1899,Qtr 4,December,30,1332,812
01:33 AM,AM,1,1 AM,33,1899,Qtr 4,December,30,0133,93
01:33 PM,PM,13,1 PM,33,1899,Qtr 4,December,30,1333,813
01:34 AM,AM,1,1 AM,34,1899,Qtr 4,December,30,0134,94
01:34 PM,PM,13,1 PM,34,1899,Qtr 4,December,30,1334,814
01:35 AM,AM,1,1 AM,35,1899,Qtr 4,December,30,0135,95
01:35 PM,PM,13,1 PM,35,1899,Qtr 4,December,30,1335,815
01:36 AM,AM,1,1 AM,36,1899,Qtr 4,December,30,0136,96
01:36 PM,PM,13,1 PM,36,1899,Qtr 4,December,30,1336,816
01:37 AM,AM,1,1 AM,37,1899,Qtr 4,December,30,0137,97
01:37 PM,PM,13,1 PM,37,1899,Qtr 4,December,30,1337,817
01:38 AM,AM,1,1 AM,38,1899,Qtr 4,December,30,0138,98
01:38 PM,PM,13,1 PM,38,1899,Qtr 4,December,30,1338,818
01:39 AM,AM,1,1 AM,39,1899,Qtr 4,December,30,0139,99
01:39 PM,PM,13,1 PM,39,1899,Qtr 4,December,30,1339,819
01:40 AM,AM,1,1 AM,40,1899,Qtr 4,December,30,0140,100
01:40 PM,PM,13,1 PM,40,1899,Qtr 4,December,30,1340,820
01:41 AM,AM,1,1 AM,41,1899,Qtr 4,December,30,0141,101
01:41 PM,PM,13,1 PM,41,1899,Qtr 4,December,30,1341,821
01:42 AM,AM,1,1 AM,42,1899,Qtr 4,December,30,0142,102
01:42 PM,PM,13,1 PM,42,1899,Qtr 4,December,30,1342,822
01:43 AM,AM,1,1 AM,43,1899,Qtr 4,December,30,0143,103
01:43 PM,PM,13,1 PM,43,1899,Qtr 4,December,30,1343,823
01:44 AM,AM,1,1 AM,44,1899,Qtr 4,December,30,0144,104
01:44 PM,PM,13,1 PM,44,1899,Qtr 4,December,30,1344,824
01:45 AM,AM,1,1 AM,45,1899,Qtr 4,December,30,0145,105
01:45 PM,PM,13,1 PM,45,1899,Qtr 4,December,30,1345,825
01:46 AM,AM,1,1 AM,46,1899,Qtr 4,December,30,0146,106
01:46 PM,PM,13,1 PM,46,1899,Qtr 4,December,30,1346,826
01:47 AM,AM,1,1 AM,47,1899,Qtr 4,December,30,0147,107
01:47 PM,PM,13,1 PM,47,1899,Qtr 4,December,30,1347,827
01:48 AM,AM,1,1 AM,48,1899,Qtr 4,December,30,0148,108
01:48 PM,PM,13,1 PM,48,1899,Qtr 4,December,30,1348,828
01:49 AM,AM,1,1 AM,49,1899,Qtr 4,December,30,0149,109
01:49 PM,PM,13,1 PM,49,1899,Qtr 4,December,30,1349,829
01:50 AM,AM,1,1 AM,50,1899,Qtr 4,December,30,0150,110
01:50 PM,PM,13,1 PM,50,1899,Qtr 4,December,30,1350,830
01:51 AM,AM,1,1 AM,51,1899,Qtr 4,December,30,0151,111
01:51 PM,PM,13,1 PM,51,1899,Qtr 4,December,30,1351,831
01:52 AM,AM,1,1 AM,52,1899,Qtr 4,December,30,0152,112
01:52 PM,PM,13,1 PM,52,1899,Qtr 4,December,30,1352,832
01:53 AM,AM,1,1 AM,53,1899,Qtr 4,December,30,0153,113
